"GEO","National Occupational Classification","VALUE"
"Canada","Service representatives and other customer and personal services occupations [65]","45070"
"Canada","Occupations in food and beverage service [651]","18080"
"Canada","Maîtres d'hôtel and hosts/hostesses [6511]","1575"
"Canada","Bartenders [6512]","3300"
"Canada","Food and beverage servers [6513]","13205"
"Canada","Occupations in travel and accommodation [652]","2675"
"Canada","Travel counsellors [6521]","490"
"Canada","Pursers and flight attendants [6522]","0"
"Canada","Airline ticket and service agents [6523]","0"
"Canada","Ground and water transport ticket agents, cargo service representatives and related clerks [6524]","0"
"Canada","Hotel front desk clerks [6525]","1545"
"Canada","Tourism and amusement services occupations [653]","775"
"Canada","Tour and travel guides [6531]","0"
"Canada","Outdoor sport and recreational guides [6532]","0"
"Canada","Casino occupations [6533]","235"
"Canada","Security guards and related security service occupations [654]","6280"
"Canada","Security guards and related security service occupations [6541]","6280"
"Canada","Customer and information services representatives [655]","13760"
"Canada","Customer services representatives - financial institutions [6551]","1900"
"Canada","Other customer and information services representatives [6552]","11860"
"Canada","Other occupations in personal service [656]","3495"
"Canada","Image, social and other personal consultants [6561]","0"
"Canada","Estheticians, electrologists and related occupations [6562]","2605"
"Canada","Pet groomers and animal care workers [6563]","890"
"Canada","Other personal service occupations [6564]","0"
"Canada","Sales support occupations [66]","19735"
"Canada","Cashiers [661]","7595"
"Canada","Cashiers [6611]","7595"
"Canada","Other sales support and related occupations [662]","12140"
"Canada","Service station attendants [6621]","665"
"Canada","Store shelf stockers, clerks and order fillers [6622]","11215"
"Canada","Other sales related occupations [6623]","260"
"Canada","Service support and other service occupations, not elsewhere classified (n.e.c.) [67]","75055"
"Canada","Food counter attendants, kitchen helpers and related support occupations [671]","47475"
"Canada","Food counter attendants, kitchen helpers and related support occupations [6711]","47475"
"Canada","Support occupations in accommodation, travel and amusement services [672]","2830"
"Canada","Support occupations in accommodation, travel and facilities set-up services [6721]","495"
"Canada","Operators and attendants in amusement, recreation and sport [6722]","2335"
"Canada","Cleaners [673]","22310"
"Canada","Light duty cleaners [6731]","13825"
"Canada","Specialized cleaners [6732]","2265"
"Canada","Janitors, caretakers and building superintendents [6733]","6215"
"Canada","Other service support and related occupations, not elsewhere classified (n.e.c.) [674]","2440"
"Canada","Dry cleaning, laundry and related occupations [6741]","655"
"Canada","Other service support occupations, not elsewhere classified (n.e.c.) [6742]","1785"
"Canada","Trades, transport and equipment operators and related occupations [7]","139585"
"Canada","Industrial, electrical and construction trades [72]","42555"
"Canada","Contractors and supervisors, industrial, electrical and construction trades and related workers [720]","1635"
"Canada","Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations [7201]","0"
"Canada","Contractors and supervisors, electrical trades and telecommunications occupations [7202]","270"
"Canada","Contractors and supervisors, pipefitting trades [7203]","0"
"Canada","Contractors and supervisors, carpentry trades [7204]","565"
"Canada","Contractors and supervisors, other construction trades, installers, repairers and servicers [7205]","595"
"Canada","Machining, metal forming, shaping and erecting trades [723]","10080"
"Canada","Machinists and machining and tooling inspectors [7231]","2135"
"Canada","Tool and die makers [7232]","220"
"Canada","Sheet metal workers [7233]","1530"
"Canada","Boilermakers [7234]","85"
"Canada","Structural metal and platework fabricators and fitters [7235]","610"
"Canada","Ironworkers [7236]","340"
"Canada","Welders and related machine operators [7237]","5160"
"Canada","Electrical trades and electrical power line and telecommunications workers [724]","6655"
"Canada","Electricians (except industrial and power system) [7241]","4865"
"Canada","Industrial electricians [7242]","765"
"Canada","Power system electricians [7243]","25"
"Canada","Electrical power line and cable workers [7244]","155"
"Canada","Telecommunications line and cable workers [7245]","265"
"Canada","Telecommunications installation and repair workers [7246]","570"
"Canada","Cable television service and maintenance technicians [7247]","0"
"Canada","Plumbers, pipefitters and gas fitters [725]","4010"
"Canada","Plumbers [7251]","2730"
"Canada","Steamfitters, pipefitters and sprinkler system installers [7252]","915"
"Canada","Gas fitters [7253]","365"
"Canada","Carpenters and cabinetmakers [727]","9345"
"Canada","Carpenters [7271]","9010"
"Canada","Cabinetmakers [7272]","335"
"Canada","Masonry and plastering trades [728]","3765"
"Canada","Bricklayers [7281]","1120"
"Canada","Concrete finishers [7282]","825"
"Canada","Tilesetters [7283]","0"
"Canada","Plasterers, drywall installers and finishers and lathers [7284]","1480"
"Canada","Other construction trades [729]","7065"
"Canada","Roofers and shinglers [7291]","2520"
"Canada","Glaziers [7292]","0"
"Canada","Insulators [7293]","595"
"Canada","Painters and decorators (except interior decorators) [7294]","2715"
"Canada","Floor covering installers [7295]","0"
"Canada","Maintenance and equipment operation trades [73]","28540"
"Canada","Contractors and supervisors, maintenance trades and heavy equipment and transport operators [730]","1455"
"Canada","Contractors and supervisors, mechanic trades [7301]","545"
"Canada","Contractors and supervisors, heavy equipment operator crews [7302]","705"
"Canada","Supervisors, printing and related occupations [7303]","0"
"Canada","Supervisors, railway transport operations [7304]","0"
"Canada","Supervisors, motor transport and other ground transit operators [7305]","0"
"Canada","Machinery and transportation equipment mechanics (except motor vehicles) [731]","11880"
"Canada","Construction millwrights and industrial mechanics [7311]","4425"
"Canada","Heavy-duty equipment mechanics [7312]","4285"
"Canada","Heating, refrigeration and air conditioning mechanics [7313]","1785"
"Canada","Railway carmen/women [7314]","0"
"Canada","Aircraft mechanics and aircraft inspectors [7315]","1085"
"Canada","Machine fitters [7316]","70"
"Canada","Elevator constructors and mechanics [7318]","0"
"Canada","Automotive service technicians [732]","11965"
"Canada","Automotive service technicians, truck and bus mechanics and mechanical repairers [7321]","9595"
"Canada","Motor vehicle body repairers [7322]","2370"
"Canada","Other mechanics and related repairers [733]","1725"
"Canada","Oil and solid fuel heating mechanics [7331]","0"
"Canada","Appliance servicers and repairers [7332]","245"
"Canada","Electrical mechanics [7333]","760"
"Canada","Motorcycle, all-terrain vehicle and other related mechanics [7334]","525"
"Canada","Other small engine and small equipment repairers [7335]","0"
"Canada","Train crew operating occupations [736]","0"
"Canada","Railway and yard locomotive engineers [7361]","0"
"Canada","Railway conductors and brakemen/women [7362]","0"
"Canada","Crane operators, drillers and blasters [737]","620"
"Canada","Crane operators [7371]","455"
"Canada","Drillers and blasters - surface mining, quarrying and construction [7372]","150"
"Canada","Water well drillers [7373]","0"
"Canada","Printing press operators and other trades and related occupations, not elsewhere classified (n.e.c.) [738]","740"
"Canada","Printing press operators [7381]","0"
"Canada","Other trades and related occupations, not elsewhere classified (n.e.c.) [7384]","595"
"Canada","Other installers, repairers and servicers and material handlers [74]","13405"
"Canada","Other installers, repairers and servicers [744]","3645"
"Canada","Residential and commercial installers and servicers [7441]","2900"
"Canada","Waterworks and gas maintenance workers [7442]","55"
"Canada","Pest controllers and fumigators [7444]","0"
"Canada","Other repairers and servicers [7445]","515"
"Canada","Longshore workers and material handlers [745]","9760"
"Canada","Longshore workers [7451]","0"
"Canada","Material handlers [7452]","9695"
"Canada","Transport and heavy equipment operation and related maintenance occupations [75]","33660"
"Canada","Motor vehicle and transit drivers [751]","26595"
"Canada","Transport truck drivers [7511]","20140"
